scheme_id,scheme_name,scenario_id,scenario_name,fault_robot,fault_start,repair_duration,makespan,urgent_response_time,urgent_completion_time,average_waiting_time,weighted_tardiness,parallel_efficiency,conflict_count,throughput,r3_utilization
scheme_a_serial,方案A：最基本串行,normal,无故障正常生产,NONE,0.0,0.0,195.0,100.0,195.0,0.0,525.0,0.1667,0,0.0154,0.2718
scheme_a_serial,方案A：最基本串行,r1_start_fault_repair,R1 开局故障，18s 后修复,R1,0.0,18.0,213.0,118.0,213.0,0.75,615.0,0.1526,0,0.0141,0.2488
scheme_a_serial,方案A：最基本串行,r2_mid_fault_repair,R2 在 PCB 安装窗口故障，18s 后修复,R2,31.0,18.0,195.0,100.0,195.0,0.0,525.0,0.1667,0,0.0154,0.2718
scheme_a_serial,方案A：最基本串行,r3_mid_fault_repair,R3 在模块安装/转移窗口故障，18s 后修复,R3,45.0,18.0,195.0,100.0,195.0,0.0,525.0,0.1667,0,0.0154,0.2718
scheme_a_serial,方案A：最基本串行,r4_mid_fault_repair,R4 在锁付窗口故障，18s 后修复,R4,82.0,18.0,195.0,100.0,195.0,0.0,525.0,0.1667,0,0.0154,0.2718
scheme_a_serial,方案A：最基本串行,r5_late_fault_repair,R5 在分拣窗口故障，18s 后修复,R5,93.0,18.0,195.0,100.0,195.0,0.0,525.0,0.1667,0,0.0154,0.2718
scheme_a_serial,方案A：最基本串行,camera_mid_fault_repair,固定相机在检测窗口故障，18s 后修复,CAMERA,73.0,18.0,195.0,100.0,195.0,0.0,525.0,0.1667,0,0.0154,0.2718
scheme_b_parallel_fifo,方案B：基础并行 FIFO,normal,无故障正常生产,NONE,0.0,0.0,154.0,59.0,154.0,3.96,320.0,0.211,17,0.0195,0.3442
scheme_b_parallel_fifo,方案B：基础并行 FIFO,r1_start_fault_repair,R1 开局故障，18s 后修复,R1,0.0,18.0,172.0,77.0,172.0,6.21,410.0,0.189,22,0.0174,0.3081
scheme_b_parallel_fifo,方案B：基础并行 FIFO,r2_mid_fault_repair,R2 在 PCB 安装窗口故障，18s 后修复,R2,31.0,18.0,154.0,23.0,154.0,4.29,320.0,0.211,19,0.0195,0.3442
